"feature","est_rho","lower_rho","upper_rho","bias_slope","blalt_mean","blalt_delta.sd","blalt_lower","blalt_upper"
"original_glszm_SmallAreaHighGrayLevelEmphasis","0.821380730079854","0.655843396990396","0.911548807906457","0.991899383698613","11.6896268992861","164.232109128296","-310.199392097227","333.578645895799"
"original_glszm_SmallAreaLowGrayLevelEmphasis","0.843359273051791","0.69028725349586","0.924171138242199","0.999563322718331","-0.00019059658628115","0.00392813387109378","-0.00788959750007686","0.00750840432751456"
"original_glszm_ZoneEntropy","0.934886126348523","0.874559694449786","0.966715656867043","0.982387308833231","0.0511219247267633","0.170058896759997","-0.282187388173446","0.384431237626973"
"original_glszm_ZonePercentage","0.960314020084865","0.918009524533606","0.981006882131794","0.997860636592338","0.000615853959871745","0.0440769852393384","-0.0857734496563351","0.0870051575760786"
"original_glszm_ZoneVariance","0.775620105725581","0.58069868410411","0.886437965425513","0.983151490926972","-49.1447252231642","360.67952984556","-756.063613681302","657.774163234974"
"original_gldm_DependenceEntropy","0.955320001671347","0.916643496831151","0.976273185162128","0.982673857555749","0.0503261045349611","0.150509308928635","-0.244666720303177","0.345318929373099"
"original_gldm_DependenceNonUniformity","0.983121045624062","0.965484706706273","0.991783386890146","0.997653786547452","25.2151943067179","149.919396219391","-268.621422867279","319.051811480715"
"original_gldm_DependenceNonUniformityNormalized","0.953630673006823","0.908797830340087","0.976693834572043","0.991568573078444","-0.00417120704651843","0.0350952695649191","-0.0729566714214846","0.0646142573284477"
"original_gldm_DependenceVariance","0.827118790097463","0.66455953588015","0.914925804105511","0.994732353278297","0.0141559995805207","0.659611700954052","-1.27865917807062","1.30697117723167"
"original_gldm_GrayLevelNonUniformity","0.980420297259496","0.959357655487636","0.990619614324583","0.998398880646628","-6.54160979915331","60.6361588033854","-125.38629721464","112.303077616333"
"original_gldm_GrayLevelVariance","0.905033349188369","0.813677808035763","0.952763014601938","0.985811817721635","4.83373765557006","22.4506167075646","-39.1686625219697","48.8361378331098"
"original_gldm_HighGrayLevelEmphasis","0.856968644561663","0.715452508372698","0.930937004619454","0.997686458759766","23.854643930537","193.644944933031","-355.682473926445","403.391761787519"
"original_gldm_LargeDependenceEmphasis","0.875727100758244","0.753932354992584","0.939323280555788","0.994306746012211","-0.0695459477435811","1.93794856276613","-3.86785533465635","3.72876343916919"
"original_gldm_LargeDependenceHighGrayLevelEmphasis","0.787540521690224","0.592877928664449","0.895247542660226","0.995097257565743","293.503628716807","1945.06019316906","-3518.74429765707","4105.75155509068"
"original_gldm_LargeDependenceLowGrayLevelEmphasis","0.415162822567981","0.11896461109256","0.643506545935322","0.862517732169201","-0.00241895191104086","0.0125844344448132","-0.0270839901886801","0.0222460863665983"
"original_gldm_LowGrayLevelEmphasis","0.904840995889804","0.8055134573234","0.954712700301576","0.999831174452961","-7.667302966226e-05","0.00256032602757523","-0.00509481983239022","0.00494147377306571"
"original_gldm_SmallDependenceEmphasis","0.953186890176385","0.903705220685056","0.977542052099994","0.997416243164511","-0.000852928391491574","0.0420707253332647","-0.0833100348481672","0.081604178065184"
"original_gldm_SmallDependenceHighGrayLevelEmphasis","0.868415082808752","0.744294731597529","0.934547668324632","0.988741618031933","3.10246345903587","134.112388166576","-259.752987228108","265.95791414618"
"original_gldm_SmallDependenceLowGrayLevelEmphasis","0.933587694413517","0.862139820784239","0.968630540555101","0.999868697076831","2.11126630458778e-05","0.00221450251169514","-0.00431923250355009","0.00436145782964184"
"original_ngtdm_Busyness","0.997942144777875","0.995582977305222","0.99904186684584","0.99997651899991","-0.00145035018524098","0.0366438250405526","-0.0732709275205111","0.0703702271500292"
"original_ngtdm_Coarseness","0.974805424253788","0.946626679428328","0.988197244992556","0.999605102505273","0.00025758671288123","0.00325986983115192","-0.0061316407504652","0.00664681417622766"
"original_ngtdm_Complexity","0.870968899930008","0.742353675988121","0.937676852347638","0.996034340110651","229.127996591906","1630.48473377808","-2966.5633589555","3424.81935213932"
"original_ngtdm_Contrast","0.996328219789115","0.992382928918886","0.998231845781526","0.999628956582076","0.0116930399472989","0.140199622558466","-0.263093170913405","0.286479250808002"
"original_ngtdm_Strength","0.970189421207956","0.94870985667875","0.982753268805434","0.983011527557214","0.868501963068068","2.65314707976365","-4.3315707589563","6.06857468509244"
